user_id,time,days,average_per_day,rank
1fcdd2f5-13ed-4ee8-b4ec-706654e68472,162444.0,13,3.471025641025641,1
0e581334-ccca-4141-9731-ddf544b1c549,182412.0,14,3.6192857142857138,2
36ca1a7a-a927-4838-bb36-4fcd974014c9,175247.0,13,3.744594017094017,3
5dafb3b2-22aa-4039-a2f0-3cf711f84177,267839.0,19,3.9157748538011696,4
bfa0f1f9-300e-41ad-bcff-0c3bd79595f1,170856.0,12,3.955,5
98ea63ee-bba1-4ea5-8ada-1d0a2dd1f6fd,215571.0,15,3.9920555555555555,6
6ecc43f1-87f4-4a10-b9b9-4447a5d0bc22,218840.0,15,4.0525925925925925,7
33c08c48-f50a-4c72-a975-f8572d65a8db,238952.0,16,4.148472222222222,8
67e4c352-bda1-4289-b0a4-0e25f67af5f2,300346.0,20,4.1714722222222225,9
8ee31b32-9b50-47da-8927-801a62348cb5,271868.0,18,4.195493827160494,10
45887b17-5c63-410d-9ae3-e645743c3076,246813.0,16,4.284947916666667,11
f85a9fe3-1744-4181-b81c-a8f93df57f02,231622.0,15,4.289296296296297,12
b12841ab-ad59-42bc-ad7c-8e9c97cb8fba,298331.0,19,4.36156432748538,13
495958c6-3d03-43e3-b324-b3191d5c78f1,271770.0,17,4.440686274509804,14
2e5d8815-4e59-4302-99c0-6fc9593a2eef,261269.0,16,4.535920138888889,15
p3b4e81f-79de-4937-ba87-aec8e7e731af,314424.0,19,4.596842105263157,16
0b99d382-ea52-4a1d-8e9e-218933c0d7b8,291890.0,17,4.769444444444444,17
2c4c1aa0-5dd6-4fc1-b474-6c2ed92dd43c,310618.0,18,4.7934876543209874,18
1f55d290-49ff-4512-b1c1-ee92ec9680ab,277622.0,16,4.819826388888889,19
abce78a1-f8e6-4e9b-aafe-9786846e089e,252592.0,14,5.011746031746031,20
d22c03ba-00f7-4473-bc9d-61136643994f,202304.0,11,5.108686868686868,21
a8c60645-aef4-4b4e-aefb-65e242536c2f,321562.5,17,5.254289215686275,22
a59f9f64-2937-40e6-bc28-e43fbab63a65,265899.0,14,5.27577380952381,23
oab91046-1831-436d-a41d-da6ba1b2d385,193590.0,10,5.3774999999999995,24
tc83470b-61c3-48c5-9bf3-9d623942e2ec,333893.0,15,6.183203703703703,25
